"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"172","Lutjanus Griseus",-82.793253,28.051438,1,-82.793253,28.051438
"173","Lutjanus Griseus",-76.738135,17.945956,1,-76.738135,17.945956
"174","Lutjanus Griseus",-77.743063,24.46112,1,-77.743063,24.46112
"175","Lutjanus Griseus",-81.511505,25.957527,1,-81.511505,25.957527
"176","Lutjanus Griseus",-81.448099,24.689732,1,-81.448099,24.689732
"177","Lutjanus Griseus",-81.21014,29.630699,1,-81.21014,29.630699
"178","Lutjanus Griseus",-61.796011,16.305229,1,-61.796011,16.305229
"179","Lutjanus Griseus",-76.958892,26.539242,1,-76.958892,26.539242
"180","Lutjanus Griseus",-86.926679,20.794481,1,-86.926679,20.794481
"181","Lutjanus Griseus",-82.89823,26.955819,1,-82.89823,26.955819
"182","Lutjanus Griseus",-82.685172,27.711412,1,-82.685172,27.711412
"183","Lutjanus Griseus",-76.319153,37.110711,1,-76.319153,37.110711
"184","Lutjanus Griseus",-61.697131,16.334667,1,-61.697131,16.334667
"185","Lutjanus Griseus",-82.992432,27.867305,1,-82.992432,27.867305
"186","Lutjanus Griseus",-82.920943,27.992609,1,-82.920943,27.992609
"187","Lutjanus Griseus",-82.93525,27.888128,1,-82.93525,27.888128
"188","Lutjanus Griseus",-80.702102,28.416991,1,-80.702102,28.416991
"189","Lutjanus Griseus",-96.193421,27.505134,1,-96.193421,27.505134
"190","Lutjanus Griseus",-76.507083,37.238132,1,-76.507083,37.238132
"191","Lutjanus Griseus",-90.049018,21.161667,1,-90.049018,21.161667
"192","Lutjanus Griseus",-60.866722,14.46219,1,-60.866722,14.46219
"193","Lutjanus Griseus",-82.617055,27.383999,1,-82.617055,27.383999
"194","Lutjanus Griseus",-96.64952,26.883173,1,-96.64952,26.883173
"195","Lutjanus Griseus",-71.72852,12.40745,1,-71.72852,12.40745
"196","Lutjanus Griseus",-81.872309,26.640597,1,-81.872309,26.640597
"197","Lutjanus Griseus",-82.907339,27.935421,1,-82.907339,27.935421
"198","Lutjanus Griseus",-82.321347,27.481132,1,-82.321347,27.481132
"199","Lutjanus Griseus",-82.469108,27.112184,1,-82.469108,27.112184
"200","Lutjanus Griseus",-74.039622,40.000208,1,-74.039622,40.000208
"201","Lutjanus Griseus",-97.27476,27.912062,1,-97.27476,27.912062
"202","Lutjanus Griseus",-94.883581,29.284518,1,-94.883581,29.284518
"203","Lutjanus Griseus",-90.083306,29.1902,1,-90.083306,29.1902
"204","Lutjanus Griseus",-94.773176,29.189133,1,-94.773176,29.189133
"205","Lutjanus Griseus",-82.714452,27.841889,1,-82.714452,27.841889
"206","Lutjanus Griseus",-66.237591,17.921367,1,-66.237591,17.921367
"207","Lutjanus Griseus",-81.658463,25.899625,1,-81.658463,25.899625
"208","Lutjanus Griseus",-80.280889,25.311358,1,-80.280889,25.311358
"209","Lutjanus Griseus",-88.004422,17.752042,1,-88.004422,17.752042
"210","Lutjanus Griseus",-82.481515,27.01126,1,-82.481515,27.01126
"211","Lutjanus Griseus",-73.263884,40.643661,1,-73.263884,40.643661
"212","Lutjanus Griseus",-82.575539,28.715701,1,-82.575539,28.715701
"213","Lutjanus Griseus",-72.867082,40.793726,1,-72.867082,40.793726
"214","Lutjanus Griseus",-81.47058,30.76435,1,-81.47058,30.76435
"215","Lutjanus Griseus",-81.430061,30.668407,1,-81.430061,30.668407
"216","Lutjanus Griseus",-93.76314,29.920354,1,-93.76314,29.920354
"217","Lutjanus Griseus",-72.656458,40.927902,1,-72.656458,40.927902
"218","Lutjanus Griseus",-81.460118,30.550454,1,-81.460118,30.550454
"219","Lutjanus Griseus",-84.395175,29.90993,1,-84.395175,29.90993
"220","Lutjanus Griseus",-88.84928,30.367428,1,-88.84928,30.367428
"221","Lutjanus Griseus",-74.341617,39.56391,1,-74.341617,39.56391
"222","Lutjanus Griseus",-80.036027,26.613279,1,-80.036027,26.613279
